index,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Utilities,Neighborhood,BldgType,OverallCond,YearBuilt,Foundation,BsmtCond,BsmtExposure,Heating,HeatingQC,CentralAir,Electrical,FullBath,BedroomAbvGr,KitchenAbvGr,Fireplaces,GarageType,GarageCars,PoolQC,Fence,MiscFeature,SaleCondition,SalePrice
654,20,RL,91,10437,Pave,AllPub,NoRidge,1Fam,6,1995,PConc,TA,Gd,GasA,Ex,Y,SBrkr,2,2,1,1,Attchd,3,NP,No Fence,Attchd,Normal,350000
750,50,RM,55,8800,Pave,AllPub,OldTown,1Fam,7,1910,BrkTil,Fa,No,GasA,Gd,Y,SBrkr,1,3,1,0,NG,0,NP,No Fence,NG,Normal,96500
1186,190,RL,107,10615,Pave,AllPub,OldTown,2fmCon,5,1900,CBlock,TA,Mn,GasA,TA,Y,SBrkr,2,3,2,0,CarPort,2,NP,No Fence,CarPort,Abnorml,95000
960,20,RL,50,7207,Pave,AllPub,BrkSide,1Fam,7,1958,CBlock,TA,Gd,GasA,Gd,Y,SBrkr,1,2,1,0,NG,0,NP,No Fence,NG,Normal,116500
455,20,RL,80,9600,Pave,AllPub,NWAmes,1Fam,6,1973,CBlock,TA,No,GasA,Fa,Y,SBrkr,1,3,1,1,Attchd,2,NP,No Fence,Attchd,Normal,175500
86,60,RL,122,11911,Pave,AllPub,Gilbert,1Fam,5,2005,PConc,TA,Av,GasA,Ex,Y,SBrkr,2,3,1,1,BuiltIn,2,NP,No Fence,BuiltIn,Normal,174000
118,60,RL,90,12376,Pave,AllPub,SawyerW,1Fam,5,1990,PConc,TA,Mn,GasA,Gd,Y,SBrkr,3,5,1,2,Attchd,3,NP,No Fence,Attchd,Normal,320000
892,20,RL,70,8414,Pave,AllPub,Sawyer,1Fam,8,1963,CBlock,TA,No,GasA,TA,Y,SBrkr,1,3,1,0,Attchd,1,NP,MnPrv,Attchd,Normal,154500
1300,60,RL,NV,10762,Pave,AllPub,Gilbert,1Fam,5,1999,PConc,TA,No,GasA,Ex,Y,SBrkr,2,3,1,1,Attchd,2,NP,No Fence,Attchd,Normal,225000
869,60,RL,80,9938,Pave,AllPub,SawyerW,1Fam,5,1993,PConc,TA,No,GasA,Ex,Y,SBrkr,2,3,1,1,Attchd,2,NP,GdPrv,Attchd,Normal,236000
60,20,RL,63,13072,Pave,AllPub,SawyerW,1Fam,5,2004,PConc,TA,No,GasA,Ex,Y,SBrkr,1,3,1,0,Detchd,2,NP,No Fence,Detchd,Partial,158000
444,60,RL,70,8750,Pave,AllPub,CollgCr,1Fam,5,1994,PConc,TA,No,GasA,Ex,Y,SBrkr,2,4,1,1,Attchd,2,NP,No Fence,Attchd,Normal,210000
1416,190,RM,60,11340,Pave,AllPub,OldTown,2fmCon,6,1885,PConc,TA,No,GasA,Gd,Y,SBrkr,2,4,2,0,Detchd,2,NP,No Fence,Detchd,Normal,122500
624,60,RL,80,10400,Pave,AllPub,NWAmes,1Fam,5,1972,CBlock,TA,No,GasA,Gd,Y,SBrkr,1,4,1,1,Attchd,2,NP,No Fence,Attchd,Normal,165150
882,60,RL,NV,9636,Pave,AllPub,Gilbert,1Fam,5,1992,PConc,TA,No,GasA,Gd,Y,SBrkr,2,3,1,1,BuiltIn,2,NP,MnPrv,BuiltIn,Normal,178000
480,20,RL,98,16033,Pave,AllPub,NridgHt,1Fam,5,2004,PConc,TA,Gd,GasA,Ex,Y,SBrkr,2,3,1,1,Attchd,3,NP,No Fence,Attchd,Normal,326000
946,80,RL,70,8163,Pave,AllPub,NAmes,1Fam,6,1959,CBlock,TA,Av,GasA,TA,Y,SBrkr,1,3,1,1,Attchd,1,NP,No Fence,Attchd,Normal,143000
571,20,RL,60,7332,Pave,AllPub,NAmes,1Fam,6,1959,CBlock,TA,No,GasA,Ex,Y,SBrkr,1,2,1,0,Attchd,1,NP,No Fence,Attchd,Abnorml,120000
