LotArea,OverallCond,BedroomAbvGr,Fireplaces,GarageCars,SalePrice,SaleCondition
8450,5,3,0,2,208500,Normal
9600,8,3,1,2,181500,Normal
11250,5,3,1,2,223500,Normal
9550,5,3,1,3,140000,Abnorml
14260,5,4,1,3,250000,Normal
14115,5,1,0,2,143000,Normal
10084,5,3,1,2,307000,Normal
10382,6,3,2,2,200000,Normal
6120,5,2,2,2,129900,Abnorml
7420,6,2,2,1,118000,Normal
11200,5,3,0,1,129500,Normal
11924,5,4,2,3,345000,Partial
12968,6,2,0,1,144000,Normal
10652,5,3,1,3,279500,Partial
10920,5,2,1,1,157000,Normal
6120,8,2,0,2,132000,Normal
11241,7,2,1,2,149000,Normal
10791,5,2,0,2,90000,Normal
13695,5,3,0,2,159000,Normal
7560,6,3,0,1,139000,Abnorml
14215,5,4,1,3,325300,Partial
7449,7,3,1,1,139400,Normal
9742,5,3,1,2,230000,Normal
4224,7,3,1,2,129900,Normal
8246,8,3,1,1,154000,Normal
14230,5,3,1,3,256300,Normal
7200,7,3,0,2,134800,Normal
11478,5,3,1,3,306000,Normal
16321,6,2,2,1,207500,Normal
6324,6,1,0,1,68500,Normal
8500,4,3,0,1,40000,Normal
8544,6,3,0,1,149350,Normal
11049,5,3,0,2,179900,Normal
10552,5,4,1,2,165500,Normal
7313,5,2,1,2,277500,Normal
13418,5,4,1,3,309000,Normal
10859,5,3,0,2,145000,Normal
8532,6,3,1,2,153000,Normal
7922,7,3,0,1,109000,Abnorml
6040,5,2,0,0,82000,AdjLand
8658,5,3,1,2,160000,Abnorml
16905,6,2,2,1,170000,Normal
9180,7,2,0,2,144000,Normal
9200,6,3,0,1,130250,Normal
7945,6,3,0,1,141000,Normal
7658,5,2,1,2,319900,Normal
12822,5,1,1,2,239686,Abnorml
11096,5,3,0,3,249700,Normal
4456,5,2,0,0,113000,Partial
7742,7,3,0,1,127000,Normal
13869,6,3,0,2,177000,Normal
6240,6,3,1,2,114500,Normal
8472,5,2,0,2,110000,Normal
50271,5,0,1,3,385000,Normal
7134,5,3,1,2,130000,Normal
10175,5,3,1,2,180500,Normal
2645,5,3,0,2,172500,Abnorml
11645,5,3,0,2,196500,Normal
13682,5,3,1,3,438780,Partial
7200,7,2,0,1,124900,Normal
13072,5,3,0,2,158000,Partial
7200,7,3,0,1,101000,Normal
6442,5,2,1,2,202500,Normal
10300,6,3,0,2,140000,Normal
9375,5,3,0,2,219500,Normal
9591,5,4,1,3,317000,Normal
19900,5,3,1,2,180000,Normal
10665,5,3,0,2,226000,Normal
4608,6,2,0,1,80000,Normal
15593,4,3,1,2,225000,Normal
13651,6,3,2,2,244000,Normal
7599,6,2,0,2,129500,Normal
10141,5,3,1,2,185000,Normal
10200,7,3,0,2,144900,Normal
5790,6,3,0,1,107400,Normal
1596,5,2,0,1,91000,Normal
8475,7,2,0,1,135750,Normal
8635,5,2,0,1,127000,Normal
10778,5,4,0,0,136500,Normal
10440,6,2,0,2,110000,Normal
13000,6,4,1,1,193500,Normal
4500,5,2,0,2,153500,Normal
10206,5,3,1,3,245000,Normal
8892,5,3,0,2,126500,Normal
8530,5,3,1,2,168500,Normal
16059,5,4,1,2,260000,Normal
11911,5,3,1,2,174000,Normal
3951,5,2,0,2,164500,Partial
8470,2,2,0,0,85000,Abnorml
8070,5,3,0,0,123600,Normal
7200,5,2,0,2,109900,Normal
8500,3,2,0,2,98600,Abnorml
13360,7,2,0,2,163500,Normal
7200,6,4,1,2,133900,Normal
9337,5,3,0,2,204750,Normal
9765,8,3,1,2,185000,Normal
10264,5,3,0,2,214000,Normal
10921,5,3,0,1,94750,Normal
10625,5,2,0,1,83000,Abnorml
9320,5,3,0,0,128950,Normal
10603,7,3,2,2,205000,Normal
9206,5,3,1,2,178000,Normal
7018,5,4,0,2,118964,Alloca
10402,5,3,0,3,198900,Normal
7758,4,4,2,1,169500,Normal
9375,5,3,1,2,250000,Normal
10800,7,2,0,1,100000,Normal
6000,5,2,0,1,115000,Partial
8500,7,3,0,0,115000,Normal
11751,6,3,1,2,190000,Normal
9525,4,4,0,1,136900,Normal
7750,5,3,1,2,180000,Normal
9965,5,4,1,3,383970,Partial
21000,5,3,2,2,217000,Abnorml
7259,8,3,1,1,259500,Normal
3230,5,2,1,2,176000,Normal
11616,5,3,1,1,139000,Normal
8536,5,2,0,2,155000,Partial
12376,5,5,2,3,320000,Normal
8461,5,3,1,2,163990,Partial
21453,5,1,2,2,180000,Normal
6060,5,3,0,1,100000,Normal
9464,7,3,0,1,136000,Normal
7892,5,2,0,2,153900,Normal
17043,5,3,1,2,181000,Normal
6780,8,2,0,0,84500,Normal
4928,5,2,1,2,128000,Normal
4388,7,3,1,0,87000,Normal
7590,5,3,1,2,155000,Normal
8973,7,3,0,2,150000,Abnorml
14200,6,4,2,2,226000,Normal
12224,5,3,1,2,244000,Normal
7388,6,3,0,2,150750,Normal
6853,5,2,0,2,220000,Normal
10335,6,3,1,2,180000,Normal
10400,6,3,1,2,174000,Normal
10355,5,3,1,1,143000,Normal
11070,5,5,0,3,171000,Family
9066,5,3,2,3,230000,Normal
15426,5,3,0,2,231500,Normal
10500,5,3,1,0,115000,Normal
11645,5,3,0,2,260000,Normal
8520,4,4,0,2,166000,Normal
10335,5,3,0,2,204000,Normal
9100,5,6,0,2,125000,Abnorml
2522,5,3,0,2,130000,Normal
6120,7,2,0,1,105000,Normal
9505,5,3,1,2,222500,Normal
7500,5,3,0,0,141000,Normal
6240,4,3,0,1,115000,Normal
10356,6,3,0,2,122000,Normal
13891,5,2,1,3,372402,Partial
14803,5,4,1,2,190000,Normal
13500,7,1,1,2,235000,Normal
11340,5,4,0,1,125000,Family
9600,5,2,0,0,79000,Normal
7200,7,2,0,2,109500,Normal
12003,5,4,1,3,269500,Partial
12552,5,3,1,2,254900,Normal
19378,5,4,1,2,320000,Partial
11120,6,3,0,2,162500,Normal
13688,5,3,2,3,412500,Normal
12182,5,3,1,2,220000,Partial
5500,6,1,0,0,103200,Normal
5400,7,3,0,1,152000,Normal
10106,7,4,0,0,127500,Normal
10708,5,2,3,1,190000,Normal
10562,5,3,1,3,325624,Partial
8244,5,3,1,2,183500,Normal
16669,6,2,1,2,228000,Normal
12358,6,2,0,2,128500,Normal
31770,5,3,2,2,215000,Normal
5306,7,2,1,2,239000,Normal
10197,5,3,1,2,163000,Normal
12416,5,3,1,2,184000,Normal
12615,7,4,1,2,243000,Normal
10029,5,4,1,2,211000,Normal
13650,5,4,1,2,172500,Normal
17423,5,1,1,3,501837,Partial
8520,6,2,0,2,100000,Normal
