MSSubClass,LotArea,OverallCond,YearBuilt,FullBath,BedroomAbvGr,KitchenAbvGr,Fireplaces,GarageCars,SalePrice
60,8450,5,2003,2,3,1,0,2,208500
20,9600,8,1976,2,3,1,1,2,181500
60,11250,5,2001,2,3,1,1,2,223500
70,9550,5,1915,1,3,1,1,3,140000
60,14260,5,2000,2,4,1,1,3,250000
20,10084,5,2004,2,3,1,1,2,307000
50,6120,5,1931,2,2,2,2,2,129900
190,7420,6,1939,1,2,2,2,1,118000
20,11200,5,1965,1,3,1,0,1,129500
60,11924,5,2005,3,4,1,2,3,345000
20,12968,6,1962,1,2,1,0,1,144000
20,10652,5,2006,2,3,1,1,3,279500
20,10920,5,1960,1,2,1,1,1,157000
45,6120,8,1929,1,2,1,0,2,132000
90,10791,5,1967,2,2,2,0,2,90000
20,13695,5,2004,1,3,1,0,2,159000
20,7560,6,1958,1,3,1,0,1,139000
60,14215,5,2005,3,4,1,1,3,325300
45,7449,7,1930,1,3,1,1,1,139400
20,9742,5,2002,2,3,1,1,2,230000
120,4224,7,1976,1,3,1,1,2,129900
20,8246,8,1968,1,3,1,1,1,154000
20,14230,5,2007,2,3,1,1,3,256300
20,7200,7,1951,1,3,1,0,2,134800
20,11478,5,2007,2,3,1,1,3,306000
20,16321,6,1957,1,2,1,2,1,207500
30,6324,6,1927,1,1,1,0,1,68500
70,8500,4,1920,1,3,1,0,1,40000
20,8544,6,1966,1,3,1,0,1,149350
20,11049,5,2007,2,3,1,0,2,179900
20,10552,5,1959,1,4,1,1,2,165500
120,7313,5,2005,2,2,1,1,2,277500
60,13418,5,2004,3,4,1,1,3,309000
20,10859,5,1994,1,3,1,0,2,145000
20,8532,6,1954,1,3,1,1,2,153000
20,7922,7,1953,1,3,1,0,1,109000
90,6040,5,1955,2,2,2,0,0,82000
20,8658,5,1965,2,3,1,1,2,160000
20,16905,6,1959,1,2,1,2,1,170000
85,9180,7,1983,1,2,1,0,2,144000
20,9200,6,1975,1,3,1,0,1,130250
20,7945,6,1959,1,3,1,0,1,141000
120,7658,5,2005,2,2,1,1,2,319900
50,12822,5,2003,1,1,1,1,2,239686
20,11096,5,2006,2,3,1,0,3,249700
190,4456,5,1920,2,2,3,0,0,113000
20,7742,7,1966,1,3,1,0,1,127000
60,13869,6,1997,2,3,1,0,2,177000
90,8472,5,1963,1,2,1,0,2,110000
20,50271,5,1981,0,0,1,1,3,385000
80,7134,5,1955,1,3,1,1,2,130000
20,10175,5,1964,2,3,1,1,2,180500
160,2645,5,1999,2,3,1,0,2,172500
60,11645,5,2004,2,3,1,0,2,196500
60,13682,5,2006,3,3,1,1,3,438780
20,7200,7,1972,1,2,1,0,1,124900
20,13072,5,2004,1,3,1,0,2,158000
75,7200,7,1920,1,3,1,0,1,101000
120,6442,5,2006,2,2,1,1,2,202500
70,10300,6,1921,2,3,1,0,2,140000
60,9375,5,1997,2,3,1,0,2,219500
60,9591,5,2004,2,4,1,1,3,317000
20,19900,5,1970,2,3,1,1,2,180000
20,10665,5,2003,2,3,1,0,2,226000
30,4608,6,1945,1,2,1,0,1,80000
50,15593,4,1953,2,3,1,1,2,225000
20,13651,6,1973,2,3,1,2,2,244000
20,7599,6,1982,1,2,1,0,2,129500
60,10141,5,1998,2,3,1,1,2,185000
20,10200,7,1954,1,3,1,0,2,144900
50,5790,6,1915,2,3,2,0,1,107400
180,1596,5,1973,1,2,1,0,1,91000
20,8475,7,1956,1,2,1,0,1,135750
50,8635,5,1948,1,2,1,0,1,127000
90,10778,5,1968,2,4,2,0,0,136500
50,10440,6,1910,1,2,1,0,2,110000
60,13000,6,1968,2,4,1,1,1,193500
120,4500,5,1998,2,2,1,0,2,153500
20,10206,5,2007,2,3,1,1,3,245000
20,8892,5,1960,1,3,1,0,2,126500
60,16059,5,1991,2,4,1,1,2,260000
60,11911,5,2005,2,3,1,1,2,174000
160,3951,5,2009,2,2,1,0,2,164500
50,8470,2,1915,1,2,1,0,0,85000
20,8070,5,1994,1,3,1,0,0,123600
20,7200,5,1950,1,2,1,0,2,109900
20,8500,3,1961,1,2,1,0,2,98600
30,13360,7,1921,1,2,1,0,2,163500
190,7200,6,1910,2,4,2,1,2,133900
60,9337,5,1997,2,3,1,0,2,204750
20,10264,5,1999,2,3,1,0,2,214000
20,10921,5,1965,1,3,1,0,1,94750
30,10625,5,1920,1,2,1,0,1,83000
20,9320,5,1959,1,3,1,0,0,128950
20,10603,7,1977,2,3,1,2,2,205000
60,9206,5,1985,2,3,1,1,2,178000
90,7018,5,1979,2,4,2,0,2,118964
20,10402,5,2009,2,3,1,0,3,198900
50,7758,4,1931,1,4,1,2,1,169500
60,9375,5,2003,2,3,1,1,2,250000
30,10800,7,1885,1,2,1,0,1,100000
20,6000,5,1948,1,2,1,0,1,115000
50,8500,7,1919,2,3,1,0,0,115000
20,11751,6,1977,2,3,1,1,2,190000
50,9525,4,1954,2,4,1,0,1,136900
80,7750,5,2000,2,3,1,1,2,180000
60,9965,5,2007,2,4,1,1,3,383970
20,21000,5,1953,2,3,1,2,2,217000
70,7259,8,1945,2,3,1,1,1,259500
160,3230,5,1999,2,2,1,1,2,176000
20,11616,5,1962,1,3,1,1,1,139000
20,8536,5,2006,1,2,1,0,2,155000
60,12376,5,1990,3,5,1,2,3,320000
60,8461,5,2005,2,3,1,1,2,163990
80,21453,5,1969,1,1,1,2,2,180000
50,6060,5,1939,1,3,1,0,1,100000
20,9464,7,1958,1,3,1,0,1,136000
120,7892,5,1993,2,2,1,0,2,153900
20,17043,5,1979,2,3,1,1,2,181000
190,6780,8,1935,1,2,1,0,0,84500
120,4928,5,1976,2,2,1,1,2,128000
45,4388,7,1930,1,3,1,1,0,87000
60,7590,5,1966,1,3,1,1,2,155000
20,8973,7,1958,1,3,1,0,2,150000
60,14200,6,1966,2,4,1,2,2,226000
60,12224,5,2000,2,3,1,1,2,244000
20,7388,6,1959,1,3,1,0,2,150750
20,6853,5,2001,2,2,1,0,2,220000
20,10335,6,1968,2,3,1,1,2,180000
20,10400,6,1970,2,3,1,1,2,174000
20,10355,5,1967,2,3,1,1,1,143000
90,11070,5,1988,3,5,2,0,3,171000
60,9066,5,1999,2,3,1,2,3,230000
60,15426,5,1997,2,3,1,0,2,231500
20,10500,5,1971,1,3,1,1,0,115000
20,11645,5,2005,2,3,1,0,2,260000
50,8520,4,1952,2,4,1,0,2,166000
20,10335,5,1999,2,3,1,0,2,204000
90,9100,5,1963,2,6,2,0,2,125000
160,2522,5,2004,2,3,1,0,2,130000
30,6120,7,1931,1,2,1,0,1,105000
60,9505,5,2001,2,3,1,1,2,222500
20,7500,5,2004,1,3,1,0,0,141000
50,6240,4,1936,1,3,1,0,1,115000
20,10356,6,1975,1,3,1,0,2,122000
20,13891,5,2007,2,2,1,1,3,372402
60,14803,5,1971,2,4,1,1,2,190000
20,13500,7,1960,1,1,1,1,2,235000
30,11340,5,1923,1,4,1,0,1,125000
50,9600,5,1924,1,2,1,0,0,79000
20,7200,7,1950,1,2,1,0,2,109500
60,12003,5,2009,2,4,1,1,3,269500
60,12552,5,2004,2,3,1,1,2,254900
60,19378,5,2005,2,4,1,1,2,320000
20,11120,6,1984,2,3,1,0,2,162500
60,13688,5,2003,2,3,1,2,3,412500
20,12182,5,2005,2,3,1,1,2,220000
45,5500,6,1956,1,1,1,0,0,103200
40,5400,7,1926,2,3,1,0,1,152000
190,10106,7,1940,2,4,2,0,0,127500
20,10708,5,1955,1,2,1,3,1,190000
60,10562,5,2007,1,3,1,1,3,325624
60,8244,5,2004,2,3,1,1,2,183500
20,16669,6,1981,2,2,1,1,2,228000
50,12358,6,1941,1,2,1,0,2,128500
20,31770,5,1960,1,3,1,2,2,215000
160,5306,7,1987,2,2,1,1,2,239000
20,10197,5,1961,1,3,1,1,2,163000
20,12416,5,1986,2,3,1,1,2,184000
20,12615,7,1950,2,4,1,1,2,243000
60,10029,5,1988,2,4,1,1,2,211000
50,13650,5,1958,2,4,1,1,2,172500
20,17423,5,2008,2,1,1,1,3,501837
30,8520,6,1923,1,2,1,0,2,100000
160,2117,5,2000,2,3,1,1,2,177000
70,7588,6,1920,1,4,1,1,1,200100
20,9060,6,1957,1,3,1,1,1,120000
50,11426,5,2003,2,3,1,0,2,200000
50,7438,8,1908,1,3,1,0,2,127000
75,22950,9,1892,2,4,1,2,3,475000
80,9947,5,1990,2,3,1,0,2,173000
